Country,Statement1,Statement2,Statement3,Statement4,NeighboringCountry
Austria,[FUNFACT]Tiergarten Schönbrunn in my capital Vienna is the oldest zoo in the world,[LANDMARK]Schönbrunn Palace in my capital Vienna was build in 1696,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Wiener Schnitzel,"Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy"
Belgium,"[FUNFACT]The capital of the European Union, Brussels, is in my country",[LANDMARK]The Atomium in my capital Brussels was built for the 1958 World Exhibition,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Waffels,"Netherlands, Germany, Luxembourg, France"
Bulgaria,[FUNFACT]The oldest gold treasures are 6000 years old and were found in my country,[LANDMARK]The Rila Monastery is in the mountains of one of my country's national parks,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Shopska Salad (cold salad with vegtables),"Romania, Greece"
Croatia,"[FUNFACT]My country invented the tie, worn by soldiers before it became a fashion trend","[LANDMARK]One of my country’s national parks, Plitvices Lake, has over 90 waterfalls",[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Ćevapčići,"Slovenia, Hungary"
Cyprus,"[FUNFACT]My country is divided into two parts, A turkish and an European Union side",[LANDMARK]Paphos Castle was built to protect my country from attacks and pirates,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Meze (a selection of small dishes),Greece
Czech Republic,"[FUNFACT]My country has the oldest astronomical clock, still ticking in Prague today",[LANDMARK]The Charles Bridge in my capital Prague took 45 years to be built,[FLAG]My Flag Looks Like:,"[FOOD]My favorite food is Vepro knedlo zelo (roast pork, dumpling, sauerkraut)","Germany, Poland, Slovakia, Austria"
Denmark,[FUNFACT]I have the world’s oldest amsument park called Dyrehavsbakken,[LANDMARK]The Little Mermaid is a small statue inspired by a fairy tale from my country,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Smørrebrød (butter bread),"Germany, Sweden"
Estonia,"[FUNFACT]Since 2010, my country has made internet access a basic right for everyone",[LANDMARK]Tallinn’s Town Hall is the oldest town hall in the Baltic States and Scandinavia,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Verivorst (blood sausage),"Latvia, Sweden"
Finland,[FUNFACT]On average less than one person per football field lives in my country,[LANDMARK]Suomenlinna is a sea fortress near my capital Helsinki,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Ruisleipä (rye bread),"Sweden, Estonia"
France,"[FUNFACT]My country’s military still uses carrier pigeons, making it unique in Europe",[LANDMARK]The Eiffel Tower was a present for my country for the 1889 World Exhibition,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Cheese,"Belgium, Luxembourg, Germany, Italy, Spain, Ireland"
Germany,"[FUNFACT]My country invented the Ampelmann, a famous traffic light figure",[LANDMARK]The Brandenburg Gate in my capital Berlin stands as a symbol of unity,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Bread,"Denmark, Netherlands, Belgium, Luxembourg, France, Austria, Czech Republic, Poland"
Greece,"[FUNFACT]My national anthem is the longest in the world, with 158 verses",[LANDMARK]The Acropolis in my capital Athens shows the power of an ancient civilisation,[FLAG]My Flag Looks Like:,"[FOOD]My favorite food is a Moussaka (eggplant, ground meat)","Bulgaria, Cyprus"
Hungary,[FUNFACT]The Rubik’s Cube was invented by an architecture professor from my country,[LANDMARK]The Parliment Building in my capital Budapest is a huge palace by the river,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Gulyásleves (goulash soup),"Slovakia, Romania, Croatia, Slovenia, Austria"
Ireland,[FUNFACT]Halloween started from an ancient Celtic festival that began here long ago,[LANDMARK]The Cliffs of Moher in my country rise vertically from the Atlantic ocean,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Shepherd’s Pie,France
Italy,[FUNFACT]This country has more UNESCO World Heritage Sites than any other,[LANDMARK]The arena of the Colosseum can still be visited today in my country,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Pizza or Pasta,"France, Austria, Slovenia, Malta"
Latvia,[FUNFACT]The EU’s widest waterfall is called Ventas Rumba and is in my country,[LANDMARK]My capital Riga’s Old Town is lively and colourful and exists since 1225,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Pelēkie zirņi ar speķi (grey peas with bacon),"Estonia, Lithuania"
Lithuania,[FUNFACT]I have my own national perfrume since 2010,[LANDMARK]Trakai Island Castle was build in the 14th century in my country,[FLAG]My Flag Looks Like:,"[FOOD]My favorite food is Cepelina (potato dumplings, ground meat)","Latvia, Poland"
Luxembourg,[FUNFACT]My country was the first to provide free public transport nationwide,[LANDMARK]My country’s monarchs still live in the Grand Ducal Palace today,[FLAG]My Flag Looks Like:,"[FOOD]My favorite food is Judd mat Gaardebounen (pork collar, beans)","Belgium, Germany, France"
Malta,"[FUNFACT]My Capital Valletta is the smallest EU capital by area, not by population",[LANDMARK]The Blue Grotto is a sea cave on the east side of my country,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Stuffat tal-fenek (rabbit stew),Italy
Netherlands,"[FUNFACT]My country’s anthem is 400 years old, making it the oldest in the world",[LANDMARK]The Rijksmuseum in my capital Amsterdam displays famous art,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is French Fries,"Belgium, Germany"
Poland,[FUNFACT]Europe’s first modern constitution was created in 1791 in my country,[LANDMARK]The Wieliczka Salt Mine in the south of my country goes 327 metres deep,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Pierogi (filled dumplings),"Germany, Czech Republic, Slovakia, Lithuania"
Portugal,[FUNFACT]The world’s oldest bookstore opened in my capital Lisbon in 1732,[LANDMARK]The Pena Palace in Sintra was the summer palace for my former royal family,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Pastel de Nata (egg custard tart pastry),Spain
Romania,[FUNFACT]Count Dracula’s legend began in this country,[LANDMARK]Dracula’s Castle in my country is famous for dark legends and a mysterious past,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Mămăligă (cooked corn flour),"Hungary, Bulgaria"
Slovakia,[FUNFACT]Austria and Hungary are within walking distance from my capital Bratislava,"[LANDMARK]Bratislava Castle stands on a rocky hill, watching over my capital city",[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Bryndzové Halušky (boild potato dough),"Czech Republic, Poland, Hungary, Austria"
Slovenia,[FUNFACT]My capitals name Ljubljana translates to „the loved one“,[LANDMARK]Predjama Castle was build inside a cave in the south of my country,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Ajdovi žganci (mashed Buckwheat),"Italy, Austria, Hungary, Croatia"
Spain,[FUNFACT]I’m the biggest producer of olive oil in the world,[LANDMARK]The Sagrada Familia in the east of my country is the highest church in the world,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is a Paella,"France, Portugal"
Sweden,[FUNFACT]Pippi Longstocking comes from my country,[LANDMARK]The Vasa Museum in my capital Stockholm displays a huge battle ship,[FLAG]My Flag Looks Like:,[FOOD]My favorite food is Köttbullar,"Finland, Denmark"